evse_sequential_id,evse_charge_month,evse_id,evse_mean_sessions,evse_mean_duration,evse_mean_energy_wh,evse_sum_duration,evse_sum_energy_wh,charger_latest_known_status,charger_vendor,charger_model,charger_max_power,charger_max_current,connector_plug_type,connector_plug_power,connector_current_type,charger_first_connection_date,charger_last_connection_date,charger_authentication_modes,location_name,location_latitude,location_longitude,location_postal_code,location_city,location_charge_point_operator_name
0,2020-06-01,DE*EDR*E22100054*2,-5.40703558947953,4.47473562840517,-151.531358245735,-99.9955394920602,43834.0914229093,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-01T10:40:17Z,2022-05-12T16:35:29Z,"['R', 'DP']",Neustädter Bucht West DC,54.070886,10.755442,23730,23730 Sierksdorf,Tank & Rast
1,2021-06-01,DE*EDR*E21000151*1,-24.7458609830413,9.46310078846444,10058.8209141057,-647.649974240994,-339280.946556563,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-11-12T12:16:34Z,2022-05-12T16:29:59Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Donautal Ost DC,48.588522,13.366734,94036,Passau,Tank & Rast
2,2022-01-01,DE*EDR*E21000190*1,-33.1410716592059,-9.0714381434005,3023.61268989835,-1168.73307016334,-526112.770456057,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-11-26T13:12:04Z,2022-05-12T16:29:41Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Tecklenburger Land Ost DC,52.233763,7.882231,49545,Tecklenburger Land,Tank & Rast
3,2020-12-01,DE*EDR*E02100072*2,-8.5625988158803,-13.5589871850254,-8318.84296355217,-344.258978764453,-117630.186306094,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-05T08:35:23Z,2022-05-12T16:40:02Z,"['R', 'DP']",Rohnetal Nord DC,51.435207,11.426726,06542,06542 Wolferstedt,Tank & Rast
4,2021-01-01,DE*UFC*E210015*1,-9.69252217414892,275.692885377468,-609.369441956125,15292.4868662136,-301933.596801533,in-service,EFACEC,Efacec_160kw,161,234,CCS,160,DC,2020-10-29T15:47:25Z,2022-05-12T16:43:48Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Vierwinden Süd E.ON UFC,51.125661,6.602056,41516,Grevenbroich,UFC Germany (DE*UFC)
5,2021-10-01,DE*EDR*E02100064*1,19.9266758791345,-0.830117737726098,7712.02132512832,744.848929309805,491633.723853518,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-01T16:53:41Z,2022-05-11T16:33:30Z,"['R', 'DP']",Plötzetal Ost DC,51.655934,11.822297,06420,06420 Könnern,Tank & Rast
6,2021-02-01,DE*EDR*E11000315*2,-1.89551570587035,-11.4994617551394,5291.5571033869,-101.181859998208,-33254.2100458924,in-service,ABB,MD_TERRA_53,50,73,CCS,50,DC,2020-10-08T12:36:22Z,2022-05-12T16:28:58Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Niedergassel AC,51.927961,8.529158,33659,Bielefeld,Tank & Rast
7,2021-10-01,DE*EDR*E21000146*2,6.91493869229187,6.71474760533778,-5872.47306518624,364.591188427015,-18548.8821382601,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2020-11-03T11:05:46Z,2022-05-12T16:42:48Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Wildeshausen Süd AC,52.913791,8.425558,27801,Dötlingen,Tank & Rast
8,2019-11-01,DE*EDR*E22100054*1,-14.1280603066172,2.20691331516429,15574.0813924289,-449.259708783911,-205362.778763458,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-01T10:40:16Z,2022-05-12T16:35:29Z,"['R', 'DP']",Neustädter Bucht West DC,54.070886,10.755442,23730,23730 Sierksdorf,Tank & Rast
9,2021-08-01,DE*EDR*E21000207*1,39.9785814242476,6.43145136348099,6688.22050963334,1349.16596304795,961784.663419528,out-of-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-10-28T07:25:28Z,2022-05-12T16:38:42Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Lechwiesen Süd AC,48.058604,10.848661,86899,Landsberg am Lech,Tank & Rast
10,2021-01-01,DE*EDR*E21000128*1,2.3308260385969,12.2248223272203,4877.42218616054,-98.1511300315035,234224.958609164,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-09-18T11:04:37Z,2022-05-12T16:35:07Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Gütersloh Süd DC,51.864909,8.369809,33334,Gütersloh,Tank & Rast
11,2022-02-01,DE*EDR*E11000311*2,31.3776600028529,-14.2593167352757,3344.69186090629,802.342935685944,522665.211149737,in-service,ABB,MD_TERRA_53,50,73,CCS,50,DC,2020-10-07T15:03:00Z,2022-05-12T16:36:47Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte HH Stillhorn West AC,53.483845,10.024303,21109,Hamburg,Tank & Rast
13,2022-02-01,DE*EDR*E02100043*1,28.0404349217652,3.26091591675201,6741.94720979075,990.879926076079,578628.822939326,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2018-02-01T11:53:43Z,2022-05-12T16:35:25Z,"['R', 'DP']",Köckern West DC,51.607277,12.183264,06794,06794 Sandersdorf-Brehna,Tank & Rast
14,2021-12-01,DE*EDR*E21000199*1,50.2031238231278,1.34321887847063,5962.25002717182,1487.91548304869,1115359.40737187,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-10-05T16:56:55Z,2022-05-12T16:39:38Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Garbsen Nord AC,52.422326,9.554407,30823,Garbsen,Tank & Rast
15,2020-10-01,DE*EDR*E02100031*2,-12.6898724172582,-29.3150270442882,-11013.1465710965,-438.383004908311,-181269.963092507,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2018-02-05T08:35:23Z,2022-05-12T16:32:58Z,"['R', 'DP']",Hansens Holz DC,51.090952,13.236838,04741,04720 Döbeln,Tank & Rast
16,2021-03-01,DE*EDR*E11000310*1,-6.21136892126557,31.5939135521935,-1348.52987963777,-87.5666568899143,-30455.1461456463,in-service,ABB,MD_TERRA_53,43,63,Mennekes,43,AC,2020-10-07T14:53:28Z,2022-05-12T16:42:16Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte HH Stillhorn Ost AC,53.484188,10.026537,21109,Hamburg,Tank & Rast
17,2022-01-01,DE*EDR*E21000210*1,87.174370697558,5.52523057374502,-5386.39848590781,3603.26872344102,2028401.85622982,in-service,EFACEC,Efacec_160kw,161,234,CCS,160,DC,2020-09-17T09:00:19Z,2022-05-12T16:31:28Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Nievenheim Ost,51.12548,6.7975,41541,Dormagen,Tank & Rast
18,2021-08-01,DE*EDR*E21000194*2,-40.2744604873788,-22.9210515595541,-4811.35272707222,-1672.89723582202,-543557.24712994,in-service,EFACEC,Efapower-EV QC,43,63,Mennekes,22,AC,2020-10-29T14:25:22Z,2022-05-12T16:34:02Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Resser Mark Nord AC,51.571066,7.102529,45892,Gelsenkirchen,Tank & Rast
19,2022-04-01,DE*UFC*E320109*2,-55.5188417769629,-6.04785757307521,-8615.61654531595,-1483.19834569974,-1580069.66086119,in-service,alpitronic GmbH,HYC_300,100,145,CHAdeMO,"62,5",DC,2020-10-28T10:53:59Z,2022-05-12T16:31:16Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Siegburg West E.ON UFC-CCS,50.806619,7.220173,53721,Siegburg,UFC Germany (DE*UFC)
20,2021-10-01,DE*EDR*E21000155*1,8.04630184235067,-10.3751149972153,2844.64432959397,103.177360745584,63865.9755406774,in-service,EFACEC,Efapower-EV QC,50,73,CCS,50,DC,2020-11-25T12:54:56Z,2022-05-12T16:43:34Z,"['NRC', 'NRD', 'R', 'DP']",Raststätte Siegburg Ost AC,50.809423,7.220042,53721,Siegburg,Tank & Rast
