evse_sequential_id,evse_charge_month,evse_id,evse_mean_sessions,evse_mean_duration,evse_mean_energy_wh,evse_sum_duration,evse_sum_energy_wh,location_latitude,location_longitude,location_postal_code,location_city,,Pincode,Latitude of nearest fast charger,Longitude of the nearest fast charger,Distance from the nearet fast charger(in Km)
1,01.06.21,DE*EDR*E21000151*1,-24.74586098,9.463100788,10058.82091,-647.6499742,-339280.9466,48.588522,13.366734,94036,Passau,,940,48.559526,13.4225,5.218119141
2,01.01.22,DE*EDR*E21000190*1,-33.14107166,-9.071438143,3023.61269,-1168.73307,-526112.7705,52.233763,7.882231,49545,Tecklenburger Land,,495,52.55593418,7.94300521,36.06035806
4,01.01.21,DE*UFC*E210015*1,-9.692522174,275.6928854,-609.369442,15292.48687,-301933.5968,51.125661,6.602056,41516,Grevenbroich,,415,51.061111,6.820522,16.86089429
5,01.10.21,DE*EDR*E02100064*1,19.92667588,-0.830117738,7712.021325,744.8489293,491633.7239,51.655934,11.822297,6420,06420 KÃ¶nnern,,642,49.906861,8.648861,295.9325384
6,01.02.21,DE*EDR*E11000315*2,-1.895515706,-11.49946176,5291.557103,-101.18186,-33254.21005,51.927961,8.529158,33659,Bielefeld,,336,52.028614,8.556061,11.34277083
8,01.11.19,DE*EDR*E22100054*1,-14.12806031,2.206913315,15574.08139,-449.2597088,-205362.7788,54.070886,10.755442,23730,23730 Sierksdorf,,237,54.09928,10.82748,5.660916436
10,01.01.21,DE*EDR*E21000128*1,2.330826039,12.22482233,4877.422186,-98.15113003,234224.9586,51.864909,8.369809,33334,GÃ¼tersloh,,333,51.883901,8.354353,2.363388699
11,01.02.22,DE*EDR*E11000311*2,31.37766,-14.25931674,3344.691861,802.3429357,522665.2111,53.483845,10.024303,21109,Hamburg,,211,53.50427,9.98539,3.432815891
13,01.02.22,DE*EDR*E02100043*1,28.04043492,3.260915917,6741.94721,990.8799261,578628.8229,51.607277,12.183264,6794,06794 Sandersdorf-Brehna,,679,51.555342,12.19287,5.812927442
14,01.12.21,DE*EDR*E21000199*1,50.20312382,1.343218878,5962.250027,1487.915483,1115359.407,52.422326,9.554407,30823,Garbsen,,308,52.44352,9.7226936,11.64974688
17,01.01.22,DE*EDR*E21000210*1,87.1743707,5.525230574,-5386.398486,3603.268723,2028401.856,51.12548,6.7975,41541,Dormagen,,415,51.061111,6.820522,7.335859339
19,01.04.22,DE*UFC*E320109*2,-55.51884178,-6.047857573,-8615.616545,-1483.198346,-1580069.661,50.806619,7.220173,53721,Siegburg,,537,50.798281,7.20399,1.467292457
20,01.10.21,DE*EDR*E21000155*1,8.046301842,-10.375115,2844.64433,103.1773607,63865.97554,50.809423,7.220042,53721,Siegburg,,537,50.798281,7.20399,1.675523447
